game_id,game_order,event,site,date_played,round,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,ply_count,date_created,file_name
2dca61bd-f647-466a-913e-bc5e3367e066,1,Lichess Titled Arena 8,https://lichess.org/Q0iQs5Zi,2018.10.26,?,DrDrunkenstein,Zhigalko_Sergei,0-1,2888,-12,2895,+11,Zhigalko_Sergei,2895,DrDrunkenstein,2888,7,A22,Normal,60+0,2018.10.26,20:58:26,Standard,,2021-02-04T23:58:45+0000,lichess_DrDrunkenstein_2021-01-04.pgn
49c26591-e318-48d0-aec6-43d5341720e3,2,Lichess Titled Arena 8,https://lichess.org/nNFiV87B,2018.10.26,?,Gokerkan,DrDrunkenstein,1-0,2614,+18,2908,-20,Gokerkan,2614,DrDrunkenstein,2908,-294,C25,Normal,60+0,2018.10.26,20:56:08,Standard,,2021-02-04T23:58:45+0000,lichess_DrDrunkenstein_2021-01-04.pgn
a8c27a19-57c6-4a5e-a6a0-8f813dddc041,3,Lichess Titled Arena 8,https://lichess.org/6xXxn13o,2018.10.26,?,Zhigalko_Sergei,DrDrunkenstein,0-1,2902,-12,2896,+12,DrDrunkenstein,2896,Zhigalko_Sergei,2902,-6,B06,Time forfeit,60+0,2018.10.26,20:53:40,Standard,,2021-02-04T23:58:45+0000,lichess_DrDrunkenstein_2021-01-04.pgn
3edd0c90-9655-48ec-b8df-12a41a5443b2,4,Lichess Titled Arena 8,https://lichess.org/MP6wwLi8,2018.10.26,?,DrDrunkenstein,Tayka,0-1,2917,-21,2590,+18,Tayka,2590,DrDrunkenstein,2917,-327,?,Abandoned,60+0,2018.10.26,20:53:17,Standard,,2021-02-04T23:58:45+0000,lichess_DrDrunkenstein_2021-01-04.pgn
36608dd8-d436-4c0f-a80b-c055cdfc5918,5,Lichess Titled Arena 8,https://lichess.org/iPpfC64P,2018.10.26,?,penguingim1,DrDrunkenstein,1-0,2771,+11,2935,-18,penguingim1,2771,DrDrunkenstein,2935,-164,A80,Normal,60+0,2018.10.26,20:51:17,Standard,,2021-02-04T23:58:45+0000,lichess_DrDrunkenstein_2021-01-04.pgn
99bb574e-7079-4ccb-9ff8-d1158bd516f1,6,Lichess Titled Arena 8,https://lichess.org/YYhWIAYF,2018.10.26,?,DrDrunkenstein,TerryR2,1-0,2926,+9,2830,-8,DrDrunkenstein,2926,TerryR2,2830,96,C00,Normal,60+0,2018.10.26,20:50:37,Standard,,2021-02-04T23:58:45+0000,lichess_DrDrunkenstein_2021-01-04.pgn
f22176fe-0b00-4401-9206-3dfe8206de0e,7,Lichess Titled Arena 8,https://lichess.org/Iy8xZ9V8,2018.10.26,?,Wild-King91,DrDrunkenstein,1-0,2766,+16,2944,-18,Wild-King91,2766,DrDrunkenstein,2944,-178,A80,Time forfeit,60+0,2018.10.26,20:47:51,Standard,,2021-02-04T23:58:45+0000,lichess_DrDrunkenstein_2021-01-04.pgn
f53f0a97-a6d4-4d1a-be27-bca38d80fc56,8,Lichess Titled Arena 8,https://lichess.org/S78vKl18,2018.10.26,?,liczner,DrDrunkenstein,0-1,2547,-2,2941,+3,DrDrunkenstein,2941,liczner,2547,394,B06,Normal,60+0,2018.10.26,20:46:10,Standard,,2021-02-04T23:58:45+0000,lichess_DrDrunkenstein_2021-01-04.pgn
16038d8b-f7d3-42a2-b34b-cef10e232d21,9,Lichess Titled Arena 8,https://lichess.org/GxdNswoL,2018.10.26,?,BlueGreensun,DrDrunkenstein,0-1,2629,-3,2938,+3,DrDrunkenstein,2938,BlueGreensun,2629,309,B14,Normal,60+0,2018.10.26,20:44:16,Standard,,2021-02-04T23:58:45+0000,lichess_DrDrunkenstein_2021-01-04.pgn
e603ec59-cf42-442d-8513-d732c691abb0,10,Lichess Titled Arena 8,https://lichess.org/tXmJRL2J,2018.10.26,?,DrDrunkenstein,BabaRamdev,1-0,2931,+7,2764,-6,DrDrunkenstein,2931,BabaRamdev,2764,167,A45,Normal,60+0,2018.10.26,20:42:26,Standard,,2021-02-04T23:58:45+0000,lichess_DrDrunkenstein_2021-01-04.pgn
